tenant_id,company_id,log_schedule_id,sequence,leave_code,work_start,work_duration,break_start,break_duration
1234567890,1234567890,1,1,,07:00:00,09:00:00,12:00:00,01:00:00
1234567890,1234567890,1,2,,07:00:00,09:00:00,12:00:00,01:00:00
1234567890,1234567890,1,3,,07:00:00,09:00:00,12:00:00,01:00:00
1234567890,1234567890,1,4,,07:00:00,09:00:00,12:00:00,01:00:00
1234567890,1234567890,1,5,,07:00:00,09:00:00,12:00:00,01:00:00
1234567890,1234567890,1,6,DO,,,,
1234567890,1234567890,1,7,DO,,,,
1234567890,1234567890,2,1,,08:00:00,09:00:00,12:00:00,01:00:00
1234567890,1234567890,2,2,,08:00:00,09:00:00,12:00:00,01:00:00
1234567890,1234567890,2,3,,08:00:00,09:00:00,12:00:00,01:00:00
1234567890,1234567890,2,4,,08:00:00,09:00:00,12:00:00,01:00:00
1234567890,1234567890,2,5,,08:00:00,09:00:00,12:00:00,01:00:00
1234567890,1234567890,2,6,DO,,,,
1234567890,1234567890,2,7,DO,,,,
1234567890,1234567890,3,1,,09:00:00,09:00:00,12:00:00,01:00:00
1234567890,1234567890,3,2,,09:00:00,09:00:00,12:00:00,01:00:00
1234567890,1234567890,3,3,,09:00:00,09:00:00,12:00:00,01:00:00
1234567890,1234567890,3,4,,09:00:00,09:00:00,12:00:00,01:00:00
1234567890,1234567890,3,5,,09:00:00,09:00:00,12:00:00,01:00:00
1234567890,1234567890,3,6,DO,,,,
1234567890,1234567890,3,7,DO,,,,
1234567890,1234567890,4,1,,08:00:00,08:30:00,12:00:00,00:30:00
1234567890,1234567890,4,2,,08:00:00,08:30:00,12:00:00,00:30:00
1234567890,1234567890,4,3,,08:00:00,08:30:00,12:00:00,00:30:00
1234567890,1234567890,4,4,,08:00:00,08:30:00,12:00:00,00:30:00
1234567890,1234567890,4,5,,08:00:00,08:30:00,12:00:00,00:30:00
1234567890,1234567890,4,6,DO,,,,
1234567890,1234567890,4,7,DO,,,,
1234567890,1234567890,5,1,,09:00:00,08:30:00,12:00:00,00:30:00
1234567890,1234567890,5,2,,09:00:00,08:30:00,12:00:00,00:30:00
1234567890,1234567890,5,3,,09:00:00,08:30:00,12:00:00,00:30:00
1234567890,1234567890,5,4,,09:00:00,08:30:00,12:00:00,00:30:00
1234567890,1234567890,5,5,,09:00:00,08:30:00,12:00:00,00:30:00
1234567890,1234567890,5,6,DO,,,,
1234567890,1234567890,5,7,DO,,,,
