tenant_id,company_id,date,employee_id,is_work_day,is_flexy_hour,schedule_time_in,time_in,time_in_deviation,schedule_time_out,time_out,time_out_deviation,schedule_duration,duration,duration_deviation,attendance_codes,leave_code,leave_weight,overtime,created_by,created_at
1234567890,1234567890,2017-07-22,16080001,FALSE,FALSE,,,,,,,,,,,DO,,,0,2018-01-01
1234567890,1234567890,2017-07-23,16080001,FALSE,FALSE,,,,,,,,,,,DO,,,0,2018-01-01
1234567890,1234567890,2017-07-24,16080001,TRUE,FALSE,2017-07-24 8:00:00,,,2017-07-24 17:00:00,2017-07-24 19:14:00,0:00:00,9:00:00,,,(NTI),,,,0,2018-01-01
1234567890,1234567890,2017-07-25,16080001,TRUE,FALSE,2017-07-25 8:00:00,2017-07-25 8:49:00,-0:49:00,2017-07-25 17:00:00,2017-07-25 18:09:00,0:00:00,9:00:00,9:20:00,-0:49:00,(LAT),,,,0,2018-01-01
1234567890,1234567890,2017-07-26,16080001,TRUE,FALSE,2017-07-26 8:00:00,2017-07-26 11:48:00,-3:48:00,2017-07-26 17:00:00,2017-07-26 14:18:00,-2:42:00,9:00:00,2:30:00,-6:30:00,(LAT)(EAO),,,,0,2018-01-01
1234567890,1234567890,2017-07-27,16080001,TRUE,FALSE,2017-07-27 8:00:00,2017-07-27 8:00:00,0:00:00,2017-07-27 17:00:00,2017-07-27 17:00:00,0:00:00,9:00:00,9:00:00,0:00:00,(ONT),,,,0,2018-01-01
1234567890,1234567890,2017-07-28,16080001,TRUE,FALSE,2017-07-28 8:00:00,,,2017-07-28 17:00:00,2017-07-28 17:57:00,0:00:00,9:00:00,,,(NTI),,,,0,2018-01-01
1234567890,1234567890,2017-07-29,16080001,FALSE,FALSE,,,,,,,,,,,DO,,,0,2018-01-01
1234567890,1234567890,2017-07-30,16080001,FALSE,FALSE,,,,,,,,,,,DO,,,0,2018-01-01
1234567890,1234567890,2017-07-31,16080001,TRUE,FALSE,2017-07-31 8:00:00,,,2017-07-31 17:00:00,2017-07-31 14:50:00,-2:10:00,9:00:00,,,(NTI)(EAO),,,,0,2018-01-01
1234567890,1234567890,2017-08-01,16080001,TRUE,FALSE,2017-08-01 8:00:00,2017-08-01 9:46:00,-1:46:00,2017-08-01 17:00:00,,,9:00:00,,,(LAT)(NTO),,,,0,2018-01-01
1234567890,1234567890,2017-08-02,16080001,TRUE,FALSE,2017-08-02 8:00:00,2017-08-02 8:00:00,0:00:00,2017-08-02 17:00:00,2017-08-02 17:00:00,0:00:00,9:00:00,9:00:00,0:00:00,(ONT),,,,0,2018-01-01
1234567890,1234567890,2017-08-03,16080001,TRUE,FALSE,2017-08-03 8:00:00,2017-08-03 9:21:00,-1:21:00,2017-08-03 17:00:00,2017-08-03 14:08:00,-2:52:00,9:00:00,4:47:00,-4:13:00,(LAT)(EAO),,,,0,2018-01-01
